,season,completions,attempts,passing_yards,passing_tds,passing_air_yards,passing_yards_after_catch,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,predicted_points
160,2021,0,0,0.0,0,0.0,0.0,0,1,6.0,0,0.0,0.0,0.0,0.2224415294476784,0,75,129,967.0,12,1.0,0.0,1636.0,328.0,48.0,28.66440862117452,0,0.0,11.823169079367894,4.71569168596121,6.566579151264192,11.67014293482675,17,0.2606060606060606,0.3541892184455509,0.1881812966150315,0.6742604656655318,0.2534731323722149,0.4,0.2891566265060241,0.3061224489795918,0.3267365661861074,0.282778505897772,1.9535353535353532,0.1676157804459691,24,174.2489
139,2021,0,0,0.0,0,0.0,0.0,0,5,53.0,0,0.0,0.0,2.0,3.939951023843605,0,107,169,1161.0,8,2.0,2.0,1440.0,527.0,59.0,23.83452878148617,1,0.0,18.067807355322877,4.463274808352448,5.375308364141902,10.457628067428002,16,0.2788778877887788,0.350279737290197,0.2828770799785292,0.6985406215153259,0.3138686131386861,0.3636363636363636,0.3138297872340425,0.319047619047619,0.3387524883875249,0.3238221632382216,1.915841584158416,0.2080900307888311,25,173.07889
130,2021,0,0,0.0,0,0.0,0.0,0,3,3.0,0,0.0,0.0,0.0,-1.602576220058836,0,103,128,1038.0,9,1.0,1.0,828.0,452.0,51.0,51.40004696860901,0,0.0,22.238638187450142,3.5783450335443976,2.9150985165325816,7.408086511889404,17,0.2038216560509554,0.1618768328445747,0.197293758184199,0.435233950352093,0.2158901830282862,0.391304347826087,0.2350230414746544,0.25,0.3035972654271865,0.2509730159878464,1.6528662420382163,0.1693663306794263,26,163.28523
197,2021,0,0,0.0,0,0.0,0.0,0,9,76.0,0,0.0,0.0,4.0,4.083713590283878,0,79,120,1102.0,6,0.0,0.0,1233.0,441.0,53.0,28.825307176290984,0,0.0,18.18974440704205,3.2123006890983232,4.177161207560411,7.742463878939772,16,0.2,0.2600168705187684,0.2089057318806253,0.5080134964150148,0.2401918047079337,0.1578947368421052,0.225531914893617,0.2161172161172161,0.1990432707750195,0.223732391134768,1.836666666666667,0.1361546829490823,22,157.44678
18,2021,0,1,0.0,0,14.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0,106,157,1138.0,6,1.0,0.0,1310.0,337.0,66.0,31.648160211185925,0,0.0,14.91658052138574,4.110302646741504,4.855718497172692,9.56445691813314,16,0.2441679626749611,0.2699361219864001,0.1485235786690172,0.5822008416015618,0.2401350495885207,0.1714285714285714,0.2738589211618257,0.2608695652173913,0.2057818105085461,0.2263937539565309,1.7698289269051322,0.1522147302292077,29,154.45389
182,2021,0,0,0.0,0,0.0,0.0,0,5,44.0,0,0.0,0.0,1.0,1.5739660664112307,0,88,129,1082.0,6,1.0,0.0,1253.0,348.0,54.0,47.04676894753929,1,0.0,18.82589813473944,4.440202819060902,5.513410073545945,10.519691280073516,17,0.2476007677543186,0.3127808287568647,0.2100181050090525,0.6216258146369698,0.3015607580824972,0.2222222222222222,0.3233532934131736,0.3092783505154639,0.2618914901523597,0.2856930509104422,2.076775431861804,0.1622775994341367,24,154.18094
202,2021,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,74,110,1091.0,6,1.0,1.0,1337.0,280.0,53.0,57.025179474621545,1,0.0,12.636776374552475,3.293304607476073,4.761760489008303,8.273189253519922,14,0.2310924369747899,0.3485401459854014,0.1374570446735395,0.625470772250506,0.2628915662650602,0.2,0.292817679558011,0.2796208530805687,0.2314457831325301,0.2503132530120482,2.292016806722689,0.1545242964948162,22,152.47086
123,2021,0,0,0.0,0,0.0,0.0,0,8,48.0,0,0.0,0.0,4.0,7.407705761317629,0,93,163,1157.0,4,1.0,1.0,1730.0,426.0,60.0,8.43850797346094,1,0.0,11.939969880520614,4.8387527785588045,7.128489422217062,12.24807176339015,17,0.2721202003338898,0.3909604519774011,0.2336807460230389,0.7209486620827557,0.3238175202910719,0.2857142857142857,0.3448275862068966,0.3404255319148936,0.3047659030026788,0.3161968733757147,1.9315525876460768,0.1923980492863045,24,149.5435
22,2021,0,1,0.0,0,18.0,0.0,0,153,618.0,6,1.0,0.0,29.0,-15.485663559607929,0,52,69,548.0,5,0.0,0.0,214.0,385.0,26.0,19.0910259758063,0,0.0,-4.7657231657231645,2.045510090268155,0.74366223374993,3.588828699027183,16,0.1275415896487985,0.0542733958914532,0.2305389221556886,0.2347311011863603,0.1431183076521285,0.25,0.1375661375661375,0.1483253588516746,0.1965591538260642,0.1644946461217027,1.0129390018484288,0.1864627710307115,30,147.9028
93,2021,0,0,0.0,0,0.0,0.0,0,4,21.0,1,0.0,0.0,4.0,3.0718219943228178,0,98,127,1103.0,5,2.0,2.0,931.0,586.0,55.0,36.05648674908548,0,0.0,18.649696843320267,2.9557375845861795,2.73695607499135,6.349475629373214,14,0.2078559738134206,0.1931134619373574,0.2678244972577696,0.4662747302700168,0.2498301245753114,0.1388888888888889,0.2444444444444444,0.2298850574712643,0.1943595067321001,0.2276418774380269,1.8052373158756136,0.1540318993454915,25,147.81367
